"region","brains.average.rank","final.rank"
"V1",29.3,2
"MST",65.6,39
"V6",49.9,17.5
"V2",30.4,3
"V3",36.2,4
"V4",48.05,14
"V8",46.55,12
"4",46.8,13
"3b",44.5,7
"FEF",86.8,85
"PEF",104.1,117
"55b",103.3,114.5
"V3A",45.55,9
"RSC",76.35,63
"POS2",89.45,89
"V7",58.8,26
"IPS1",57.4,24
"FFC",67.5,46
"V3B",49,15
"LO1",59.35,28
"LO2",60.7,31
"PIT",55.9,22
"MT",69.2,52
"A1",68.65,50
"PSL",92.8,96
"SFL",124.3,154.5
"PCV",80.8,70
"STV",85.7,82.5
"7Pm",83,74
"7m",114.6,136
"POS1",91.8,94
"23d",115.6,139
"v23ab",119.8,149
"d23ab",124.2,153
"31pv",113.4,134
"5m",42.3,5
"5mv",51.8,19
"23c",79.5,68
"5L",60.6,30
"24dd",62.7,33
"24dv",75.95,62
"7AL",69.9,54
"SCEF",104.3,118
"6ma",103.4,116
"7Am",72.3,57
"7PL",61.2,32
"7PC",64.3,36
"LIPv",81,72.5
"VIP",69.3,53
"MIP",73.2,59
"1",49.05,16
"2",58,25
"3a",45.6,10
"6d",46.4,11
"6mp",56.8,23
"6v",84.7,78
"p24pr",99.8,106
"33pr",86.2,84
"a24pr",106.4,120
"p32pr",104.5,119
"a24",139.2,177
"d32",129.2,166
"8BM",130.2,167
"p32",126.5,160
"10r",115.1,137
"47m",112.6,129
"8Av",140.8,179
"8Ad",138.9,176
"9m",137.5,175
"8BL",139.45,178
"9p",132.4,170
"10d",124.7,156
"8C",133.4,172
"44",115.3,138
"45",124.3,154.5
"47l",128.4,163.5
"a47r",132.5,171
"6r",101.3,109
"IFJa",118.1,145
"IFJp",110.3,124
"IFSp",112.8,132
"IFSa",109.7,123
"p9-46v",127,161
"46",135.65,174
"a9-46v",133.85,173
"9-46d",126.4,159
"9a",123.9,152
"10v",112.2,126
"a10p",125.6,157
"10pp",117.3,142
"11l",118.3,146
"13l",121.1,151
"OFC",94.2,99
"47s",118.5,147
"LIPd",96.9,101
"6a",88.5,88
"i6-8",126.2,158
"s6-8",128.4,163.5
"43",78.65,66
"OP4",66.55,41
"OP1",67.25,44.5
"OP2-3",54.95,21
"52",79.35,67
"RI",68.9,51
"PFcm",87.55,86
"PoI2",99.15,105
"TA2",84.8,79
"FOP4",98.85,104
"MI",112.75,131
"Pir",71.1,56
"AVI",111,125
"AAIC",97.3,102
"FOP1",77.95,65
"FOP3",92.65,95
"FOP2",67.25,44.5
"PFt",75.8,61
"AIP",85.7,82.5
"EC",81,72.5
"PreS",54.5,20
"H",80.45,69
"ProS",59.1,27
"PeEc",93.85,97
"STGa",103.3,114.5
"PBelt",65.8,40
"A5",96.2,100
"PHA1",68.25,49
"PHA3",68.1,48
"STSda",116.95,141
"STSdp",100.5,108
"STSvp",120.05,150
"TGd",103.05,113
"TE1a",132,169
"TE1p",128.6,165
"TE2a",112.5,128
"TF",87.65,87
"TE2p",98.3,103
"PHT",103,112
"PH",83.8,76.5
"TPOJ1",89.8,90
"TPOJ2",85.6,81
"TPOJ3",67.8,47
"DVT",67.2,43
"PGp",83.7,75
"IP2",102.9,111
"IP1",85.4,80
"IP0",72.55,58
"PFop",83.8,76.5
"PF",100.3,107
"PFm",113.8,135
"PGi",112.3,127
"PGs",112.9,133
"V6A",49.9,17.5
"VMV1",29.1,1
"VMV3",44.45,6
"PHA2",73.5,60
"V4t",64.1,35
"FST",76.7,64
"V3CD",63.65,34
"LO3",66.85,42
"VMV2",45.2,8
"31pd",107.7,122
"31a",102,110
"VVC",65.1,37
"25",112.7,130
"s32",117.8,143
"pOFC",90,91
"PoI1",93.95,98
"Ig",60.25,29
"FOP5",106.6,121
"p10p",131.5,168
"p47r",127.7,162
"TGv",91,92
"MBelt",65.25,38
"LBelt",70.4,55
"A4",80.9,71
"STSva",117.9,144
"TE1m",144.6,180
"PI",91.7,93
"a32pr",116.8,140
"p24",119,148
